ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash,prem,skew,spread,p_short_target_delta,sweep,p_leaps_open_min_dte,p_defend_delta,div_yield
FP.PA,PMCC,195439.0,96.5,4.48,16.2,0.07,0.09,-29.5,0.15,-14.4,26.5,15.4,0.0,70724.0,260890.0,15669.0,281631.0,15620.0,34464.0,0.0,0.0,53,198,12,237,43045.0,1.0,0.1,0.01,0.25,grid,,,
FP.PA,CoveredCall,226538.0,127.1,5.46,21.1,0.14,0.18,-42.6,0.13,-24.1,30.8,15.4,135113.0,1442.0,283134.0,453.0,320013.0,13948.0,23910.0,18721.0,10255.0,53,186,0,356,10.0,1.0,0.1,0.01,0.25,grid,,,
FP.PA,PMCC,190645.0,91.7,4.31,14.6,0.05,0.06,-29.2,0.15,-10.5,21.7,15.4,0.0,69908.0,393255.0,20149.0,418704.0,15423.0,34047.0,0.0,0.0,72,198,12,237,43406.0,1.0,0.1,0.01,0.35,grid,,,
FP.PA,CoveredCall,217206.0,117.8,5.17,19.6,0.12,0.14,-42.2,0.12,-19.6,34.7,15.4,130722.0,1492.0,416534.0,2349.0,458602.0,13548.0,23226.0,23944.0,11406.0,72,186,0,395,13.0,1.0,0.1,0.01,0.35,grid,,,
FP.PA,PMCC,127728.0,28.9,1.66,17.5,-0.07,-0.1,-34.3,0.05,-18.3,25.3,15.4,0.0,54782.0,156170.0,8452.0,216888.0,12724.0,36462.0,0.0,0.0,49,198,12,237,35336.0,1.0,0.1,0.02,0.2,grid,,,
FP.PA,CoveredCall,171852.0,72.3,3.59,22.0,0.07,0.08,-44.3,0.08,-27.0,27.7,15.4,115009.0,1360.0,178744.0,338.0,252332.0,11998.0,20568.0,14402.0,7328.0,48,186,0,318,8.0,1.0,0.1,0.02,0.2,grid,,,
FP.PA,PMCC,182211.0,83.9,4.02,16.2,0.04,0.06,-29.8,0.13,-14.8,25.7,15.4,0.0,67894.0,251354.0,15102.0,272751.0,15074.0,43427.0,0.0,0.0,53,198,12,237,40609.0,1.0,0.1,0.02,0.25,grid,,,
FP.PA,CoveredCall,226538.0,127.1,5.46,21.1,0.14,0.18,-42.6,0.13,-24.1,30.8,15.4,135113.0,1442.0,283134.0,453.0,320013.0,13948.0,23910.0,18721.0,10255.0,53,186,0,356,10.0,1.0,0.1,0.02,0.25,grid,,,
FP.PA,PMCC,178257.0,79.9,3.88,14.7,0.02,0.03,-29.8,0.13,-10.9,21.6,15.4,0.0,67064.0,381671.0,19526.0,407771.0,15010.0,43293.0,0.0,0.0,72,198,12,237,40866.0,1.0,0.1,0.02,0.35,grid,,,
FP.PA,CoveredCall,217247.0,117.8,5.17,19.6,0.12,0.15,-42.2,0.12,-19.6,34.6,15.4,130707.0,1502.0,416402.0,2349.0,458602.0,13545.0,23231.0,23943.0,11406.0,72,186,0,397,12.0,1.0,0.1,0.02,0.35,grid,,,
