y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
HBAN,GS,0.7075170269452372,0.03460438491549758,-3.4757725586912995,1.074918805045478,39.660886877725616,0.37604509348557474,1259
HON,MMM,0.6543599614317906,0.034713255595969904,-3.474612720048199,0.8836044562385621,23.072181879969808,0.3334959076073833,1259
D,AWK,0.6236769257813253,0.03625862824120716,-3.4584719720133266,0.3072511489839629,39.236648336431145,0.37254762904134126,1259
UNM,ZION,0.726419812970893,0.037506606455907344,-3.4458553316142777,0.8382477298187008,36.76160794953864,0.3471919511654054,1259
SRE,DUK,0.6660796507865778,0.03751733440173375,-3.4457484168460306,1.1312592958107472,45.94018192206596,0.408694613152487,1259
APC,MRO,0.6822731510617193,0.03816688167496006,-3.4393224043644484,0.6071372719191744,34.437155209497185,0.42288984315149536,1259
PSX,VLO,0.709726073408284,0.0385272824240736,-3.435796465425759,0.5160836806270621,32.743311554120794,0.3904248367657293,1259
UNM,JPM,0.7290244688604413,0.039114583084392446,-3.4301095401277766,0.8617311861058322,41.60164146434451,0.35906083353346185,1259
PRU,FITB,0.7326399337408733,0.039189500388804276,-3.4293892632877463,0.9329556774825815,36.71816137498678,0.42550133758850156,1259
NTRS,BRK.B,0.6530897012864167,0.039266096605952164,-3.4286540372920964,0.9932388931980775,44.78993469002035,0.47534953861790946,1259
CI,AET,0.656789302528648,0.03933768756622824,-3.4279679414570663,0.9639380424127986,28.75970552944407,0.4117679289043564,1259
D,DUK,0.7102209636952791,0.039356084336462045,-3.427791804038573,0.9823610585242954,46.828175101731134,0.4011534750606961,1259
PBCT,NTRS,0.6788438084732964,0.03948099977092063,-3.4265976393275523,0.5333852070543125,30.651197678565406,0.421801422256624,1259
AON,CB,0.6089059308903197,0.03948693412756054,-3.4265409869689347,1.3802294134914093,40.59714349832959,0.4226496401989687,1259
HON,ROP,0.6345270555369898,0.03960225057341251,-3.4254415316476208,0.832123689208753,39.197684599806486,0.43583977426128,1259
ETFC,HBAN,0.6383377195882921,0.04039425068708515,-3.4179620054458355,1.8947873885093256,38.04676355311602,0.403777597066381,1259
SPGI,BLK,0.6236026523808678,0.0406308041009671,-3.4157518372119013,1.7799171053883112,37.90458417051984,0.3969911412340869,1259
PBCT,SCHW,0.6584417223743162,0.04092469369651386,-3.413020902543825,0.35626606190706467,29.826304755593778,0.3809349287417312,1259
LNC,BBT,0.7403176213008361,0.04140043345979518,-3.4086346852443388,1.69912382141757,38.71416591057528,0.40619208128541806,1259
USB,TMK,0.7407713001591145,0.04187601239573542,-3.404291816776648,0.6204591299514628,37.95100988673179,0.39716710111841086,1259
HBAN,RJF,0.7112032793910521,0.042543554025803426,-3.398264883775431,0.8131388129114923,38.823054891595106,0.42081694136096953,1259
D,DTE,0.7487511521236991,0.04273978535263873,-3.3965081952537908,0.5085218108902173,41.07140998525557,0.36401951900405577,1259
MET,BEN,0.6190571710075949,0.042773982842242125,-3.396202742680513,0.2797783381498649,51.29366657182989,0.4359639850490249,1259
BBT,FITB,0.8277397744671158,0.04304154336994754,-3.393819882833847,0.7281069918331703,32.27325856479127,0.34324447632300686,1259
PFG,KEY,0.6999462078595232,0.04414820939845146,-3.3840931293680083,0.9338570490850004,37.198859132550936,0.4664667981192845,1259
APA,NBL,0.7094589981520097,0.0443705316161721,-3.382163584697899,0.7995986356786989,33.220425514670545,0.3808937216934281,1259
PNC,MTB,0.7985206742094382,0.04454537981904473,-3.3806517030806935,1.3223795063543091,43.203989199750296,0.4275782610759641,1259
PPL,EIX,0.6382196038243739,0.044602254265557854,-3.380160982022511,0.4099046785998281,34.190956942337316,0.3937891652706073,1259
D,XEL,0.7431888393826063,0.04523549957394627,-3.3747320428709204,0.43994868768752216,46.75533766079283,0.3717935520159712,1259
MTB,RJF,0.6750458968201486,0.045759609975134334,-3.370286214214421,0.6570115893307369,36.975430946486874,0.45517652106492923,1259
SCHW,PNC,0.7448076968603414,0.04583521832329829,-3.3696483453849595,1.2232051498955774,35.28286664185839,0.40132838205245663,1259
PBCT,PNC,0.7371609324742723,0.04629449402230355,-3.3657922927505584,0.44819904627430757,32.58998011077941,0.4144243012332105,1259
GGP,SPG,0.7338303621384221,0.046381119663214815,-3.3650685426436433,1.1929928381747756,35.87959906038335,0.38145145862285035,1259
DUK,EIX,0.6781464268828598,0.04665742213294629,-3.3627675095812246,0.4036037799418605,38.523286529884174,0.4126131621132133,1259
BRK.B,RJF,0.6265842262480575,0.04768529799632253,-3.3543051615038784,0.6971695016602606,55.63933284516124,0.5147040044995144,1259
GGP,FRT,0.6569326145668009,0.04843813418107315,-3.348202265286547,0.8799023536919812,44.3065177379161,0.34628342016410024,1259
LNC,RJF,0.7348072473230847,0.049121727791842616,-3.3427280971064253,0.9680878129660648,55.21929571710357,0.45663898687629434,1259
SCHW,JPM,0.7150628592733311,0.04940605194749167,-3.3404697219555577,1.1656474463621642,46.03527040206133,0.33247784691905935,1259
XEL,AWK,0.697282338427598,0.04973619323881468,-3.3378608126704084,0.6871887541853352,30.543977800476426,0.38488501450082196,1259
USB,STI,0.8161685238667196,0.04992033298976822,-3.3364118530439812,0.616779882658967,26.30356779420449,0.35141233290647744,1259
ES,CMS,0.8562930534912718,0.04997117100866421,-3.336012593436223,0.6597349562118402,23.119112133196168,0.3622736937142232,1249
UDR,ESS,0.8333487809626653,0.05035084421131279,-3.3330413249300643,0.9491278147897996,34.29038960930693,0.3387549738561304,1259
MHK,MAS,0.6321733097031476,0.05150476613778144,-3.324122537646857,1.063358630943476,39.80793975624218,0.38220537698842905,1259
RF,MTB,0.7918852934727488,0.053007760357483134,-3.3127483685135704,1.361495906497881,39.10286314065468,0.3883971329125218,1259
LNC,MTB,0.7145085058473564,0.05326803617493443,-3.310805592018372,1.4070514298941679,53.14505452428785,0.4449278930431225,1259
BAC,CMA,0.7646718688639446,0.05343232814979777,-3.3095832627951616,0.9303407414376236,40.62833516513496,0.44873963999673594,1259
XOM,OXY,0.662481849116338,0.05378556609593076,-3.3069655532488165,0.43128218732259865,37.57161840112864,0.39911112628542394,1259
D,ES,0.7365174709101936,0.054063548438921104,-3.3049153978655568,0.6104362019086761,45.95418466722971,0.3842564586628902,1249
KEY,RJF,0.7186457873274805,0.054654307622037546,-3.3005869121017777,0.824338716955887,48.700869880025635,0.48584737046063076,1259
PRU,CMA,0.7085033610509117,0.05475265208712012,-3.2998700563509447,0.6493122570749704,35.76269544245546,0.4087381840941549,1259
AEE,DTE,0.8255192037332334,0.05502473387660344,-3.2978922491869773,1.0633258245364263,27.564718242034576,0.39568187696170987,1259
DFS,RJF,0.6191263878195185,0.055028626972101403,-3.2978640075946575,0.4980088617358335,57.32189723109149,0.48694872169411585,1259
WEC,XEL,0.8764086405049232,0.055381372253196406,-3.2953118329246043,0.8807261628764795,34.437210640953424,0.41963396885051135,1259
D,WEC,0.7332996511237442,0.05548109792895921,-3.2945927038343688,0.506342473598291,45.218911036523934,0.36054792443251454,1259
GS,MS,0.8430980850170757,0.05591490839110726,-3.2914766708097374,0.6908480144706914,42.165851660988295,0.4372748702093332,1259
PRU,GS,0.7268632125226534,0.056627382690559086,-3.286401476264392,0.9227143873345713,55.77132520012844,0.44665423007522176,1259
PBCT,RJF,0.6339685408926758,0.056868240348948204,-3.284697518725887,0.41236627802739034,33.926517525088265,0.45607645392922147,1259
PFG,MTB,0.6690227105621589,0.05707588602122371,-3.2832332256982713,1.1485704214282721,49.68561909812102,0.47542749482099506,1259
HBAN,PNC,0.7984323485065629,0.05734355806900462,-3.2813520101697384,0.8748106258346566,36.75079707006891,0.42523165188165074,1259
RJF,BAC,0.7249057715418503,0.05781691832215763,-3.2780426015121273,0.8832586028783938,42.32349991062253,0.4040705800367027,1259
MMC,ITW,0.6218129051192347,0.0583045773707604,-3.274656154792056,0.8455941311363826,40.631936352094314,0.3700963785827504,1259
ADI,LRCX,0.6169972111395103,0.058868042247975726,-3.2707717884410408,0.46936177400458884,41.04632892578027,0.46345208631569434,1259
BK,BRK.B,0.6730295039703267,0.05891534459174636,-3.2704470731616957,1.0586375098520853,43.095984915724856,0.4728635058796743,1259
BAC,RF,0.7960050563652096,0.05923842816786004,-3.2682348412964366,1.0737458540647653,41.691257846332704,0.40168267500246285,1259
BLK,RJF,0.6517057474122593,0.06095024549726389,-3.2566739713604553,0.7146443128854107,49.59495412143697,0.44726012368915263,1259
IVZ,BEN,0.7680155641137142,0.06154482261231123,-3.252719856988374,0.49880942712995574,53.05126545317289,0.38236298589067885,1259
PFG,PRU,0.7981228202597619,0.061580595702036854,-3.2524829404434694,1.0666536778956845,41.88588955053155,0.44935415630125,1259
DFS,MS,0.6452785471382164,0.06252895047403914,-3.2462423308125947,0.5095345525870774,50.64967808356738,0.4575725239415835,1259
KEY,BAC,0.7888580886486536,0.06254055158322883,-3.246166464002285,0.7839886255674204,42.54860765640145,0.4709994849182229,1259
BK,NTRS,0.8010539881391295,0.06259499598877662,-3.2458105698518853,1.0150311344283438,42.34988027144803,0.4258798893254733,1259
ES,AEP,0.8156947304882213,0.06270124927689566,-3.24511672723005,0.8691489539294633,21.394306476794956,0.3722119936476186,1249
UNM,USB,0.7211264669954881,0.06290246566158889,-3.2438053588190883,1.3725542284874896,42.14652061251296,0.36708393427967695,1259
EOG,CXO,0.767597813289944,0.0638742145065374,-3.237519396322679,0.8590178443674201,35.867354011459724,0.34952743352787335,1259
FBHS,MHK,0.6547890985124534,0.065446331282284,-3.2275107151981417,0.6908020861521711,41.3730957774182,0.38943052408911516,1259
D,CMS,0.7514539992853704,0.06627175505977632,-3.2223327757211178,0.3987884977918729,45.716853381105075,0.37881203865146024,1259
UNM,RF,0.7532952633344219,0.06639435739480197,-3.221568096503041,0.8653222353988017,40.79444712534841,0.3762339654066903,1259
FE,AEP,0.6341159009238776,0.06653577672684702,-3.2206874573938427,-0.28816807932200555,39.11970575610998,0.4255140693596445,1259
UNM,STI,0.744785133737371,0.06721044566896701,-3.2165066987890327,0.8735797333048899,41.67410773668476,0.3625314880720165,1259
BRK.B,MMM,0.6052061758805337,0.06723116516120294,-3.2163788374788433,0.7713338631502131,41.54066760196718,0.4687825365320925,1259
HIG,RJF,0.6000663328564484,0.06741276512095454,-3.215259518714191,0.761894157828622,75.52262066355983,0.5207641956757131,1259
AEP,AWK,0.6736818811070142,0.0678857954100666,-3.2123551990090715,0.5704807600180796,36.15025504695052,0.4178384490174689,1259
SRE,ETR,0.6251705606013731,0.06844603510506808,-3.2089362660352774,0.9508894977550114,51.87252102268129,0.4516946846919974,1259
CMS,ED,0.8185018788751671,0.06966439288251652,-3.2015774695081793,1.3260308621618415,51.84952475715947,0.4133634486853212,1259
HIG,TRV,0.6134165815963476,0.06979223227967149,-3.2008112888574187,1.2023585128450758,52.09386576967365,0.5042222390586196,1259
LNC,STT,0.7185668282130668,0.07020720241575158,-3.198331922172997,1.4159181879591838,48.81605620591714,0.4230299560338188,1259
BK,HBAN,0.7257286158256839,0.0708583321155669,-3.1944649499393627,0.9311429300279012,42.12379755863763,0.44277969262516587,1259
FE,XEL,0.6009523725989101,0.07113503953189237,-3.1928301726928834,-0.2534039811341032,40.19394671316047,0.4273643541792373,1259
HBAN,STI,0.8098805098625823,0.07116646140499612,-3.192644853125032,0.8562951471679371,43.97091031259939,0.4160502078963566,1259
SCHW,BBT,0.722417829513695,0.07121057925439701,-3.1923847650706723,1.8924238394114956,44.41443522642896,0.3689413398862302,1259
PRU,BBT,0.7282536827309614,0.07156113420425846,-3.1903226745607047,1.232420159331036,40.17929625954435,0.4393133070987729,1259
TMK,JPM,0.7264311699945253,0.07156402052895187,-3.190305729492784,0.9282590350146027,46.69895102518883,0.41450885676205773,1259
BBT,PNC,0.819828250509897,0.0716393517181347,-3.1898636660857305,0.5892394193173713,42.28915052414499,0.4248421478096839,1259
PRU,ZION,0.7017022767724175,0.07187961997853827,-3.188456169503386,0.7041206259846317,49.41896209497692,0.41091701345942283,1259
PBCT,BRK.B,0.6017835239425998,0.07193923069235832,-3.18810754698421,0.5270726285498971,43.2001431815998,0.4529214262792489,1259
COF,GS,0.6546291398911497,0.07309497256751471,-3.1813932618921354,0.7027578695263816,48.75930613660835,0.3854590528702656,1259
D,PNW,0.7073624011427815,0.07316714237642243,-3.180976789822886,0.43506585307713047,54.980329716190674,0.3764064039830528,1259
MMC,HON,0.6075379225011206,0.07321766646094417,-3.1806854228489008,1.161978085928726,22.315714551382566,0.299649353849569,1259
GIS,CPB,0.6592124992342092,0.0733699008132043,-3.1798084653100203,0.636153636981068,46.652530291131434,0.47747047835262707,1259
SCHW,MTB,0.6916102634848063,0.0734507589362865,-3.1793432616909936,1.5946801392371404,53.66498564875456,0.3974395878254075,1259
