Date,PMCC,PMCC_budget,CoveredCall,BuyHold,LeapsOnly
2001-04-05,105452.9706621974,107179.47398893055,105312.93456914113,99454.02342887502,99609.47135885638
2001-04-06,105743.26479984324,107607.32031070947,105832.68771396043,100035.24658231488,99952.88647801666
2001-04-09,106415.6619984968,108960.13728836678,106924.96277201046,101018.74365658767,100485.32976524926
2001-04-10,107435.05117113152,111265.49430350268,108475.80400426648,103074.53682281902,101923.2029958171
2001-04-11,107364.7295982011,111118.34532779756,108665.79747030622,103037.57013170647,101703.70525742866
2001-04-12,107300.7031083935,110941.12268235281,108814.10556982186,102600.67762367133,101212.64833395301
2001-04-13,107236.95506876754,110771.60464837354,108925.7217903664,102600.67375271971,101058.25222557754
2001-04-16,107258.57731099264,110720.27697469368,109207.44850460056,102600.67467111758,100877.51857215162
2001-04-17,106868.29269847076,109993.64321643437,108960.05997548395,102244.24117250871,100411.6947925452
2001-04-18,107615.94907779054,112214.43080107651,110115.59519410747,103868.60020769593,101299.45987228764
2001-04-19,107403.04350263393,111639.92607578501,110136.51762931662,103606.17851058072,100999.28981912334
2001-04-20,107015.07190514996,110679.5935088996,109881.78385967862,103229.1229404048,100640.8246566078
2001-04-23,106600.66005764093,109557.87477630166,109363.11373839478,102277.5241531106,99798.3021801429
2001-04-24,107019.95824659379,110413.96663446585,110084.13881143948,103120.23600720234,100330.83996561004
2001-04-25,107407.0796002392,111192.94367541745,110697.8016247501,103794.18719697841,100787.34955273134
2001-04-26,108155.71672067608,113004.88576990011,111739.34080540348,105371.47718089305,101926.35679158315
2001-04-27,109147.9115602367,115340.85020495325,113138.94034266868,107520.40284200353,103530.14432531667
2001-04-30,109623.11679697882,116363.00737505518,113807.21507612987,108266.80806104596,104052.21993408047
2001-05-01,109673.44553500855,116436.227644403,113965.38349520741,108266.80729648063,103953.41812381403
2001-05-02,109089.42726188364,115056.03214474527,113308.5424689636,107146.82087495973,102945.47311561188
2001-05-03,108125.75194757432,112757.65529522541,112140.42675087648,105522.7378570754,101641.57992970242
2001-05-04,108757.2783331898,114076.65070503819,112925.12694252102,106486.57178082863,102396.78986471966
2001-05-07,108921.2137126843,114376.88606741316,113164.41717733674,106486.56557919257,102347.78600427709
2001-05-08,109215.5621410176,115010.66864817895,113568.32199505184,107142.72671832825,102817.14969632393
2001-05-09,109125.24883326267,114656.0285645881,113437.34353130117,107171.19407928448,102898.43512428465
2001-05-10,109869.94619721612,116829.43596903104,114327.02679308993,108865.02783453718,104240.1363300284
